categories,business_id,name,longitude,latitude,stars
"Food, Sandwiches, Restaurants, Soup, Bakeries, Salad",rtKB12BkQVb3x1e4diTIeA,Panera Bread,-111.8397653,33.24816826,2.5
"Mexican, Restaurants, Seafood",UdL8Z06DaNj6qhen0fEH9A,Mariscos El Dorado Sin,-112.07368429999998,33.3945859,2.0
"American (New), Restaurants, Breakfast & Brunch",KZ9v7M1A5t6OMDghR64_5g,12 East Cafe,-112.05671399999999,33.446778,3.0
"Sandwiches, Fast Food, Restaurants",6XImdD5qH_LFZhHeLjLaGQ,Arbys Restaurant Higley Rd,-111.718404,33.450262300000006,3.0
"Vietnamese, Restaurants",hXzoNgpkC86K_Jfg_zMHvA,PHO KC,-112.18567900000001,33.65246944,4.5
"Restaurants, Sandwiches, Salad, Pizza",tylsscXmLq03-DzGI36bIA,Squaw Peak Cafe,-112.03148780000001,33.47919004,3.5
"Specialty Food, Food, Bars, Italian, Nightlife, Ethnic Food, Restaurants, Cocktail Bars, Mediterranean",zfOum9_rEhaLAqoAV3nYaQ,Naya Mediterranean Cuisine,-111.92503400000001,33.5659639,4.0
"Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants",3-aEgS7X2jrbxA7sA1nARw,La Flor De Calabaza,-112.07208899999999,33.455949100000005,3.0
"Vietnamese, Restaurants",2D2NpSJDyQCBKPRboUcKWQ,Anise Vietnamese Restaurant,-111.87710829999999,33.3373254,4.0
"Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese",QS3QxI7u5PRdtbGgI0-UsA,Sakana Sushi & Grill,-111.9056758,33.53802944,4.0
"Cafes, Beer, Wine & Spirits, Halal, Fast Food, Party & Event Planning, Restaurants, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Indian",U-C7FKpKMdt9VOTXcmS4Hw,Bay Leaf Cafe,-111.85699850000002,33.2324404,4.0
"Vietnamese, Restaurants",AMN3Sgns9tB2x-b3eWk0qQ,Noodles Ranch,-111.9247231,33.479367100000005,4.0
"Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French",yGMCl0vYigshkXiZFIDTNw,Mimi's Cafe,-112.21935400000001,33.638654200000005,3.0
"Mexican, Restaurants",rwscnQMpddjkVNaJQhNuHw,Birrieria Obregon,-112.13487109999998,33.4753533,4.0
"Restaurants, American (New)",idF2DJg-WBk4eo2yY_7sHA,Cave Creek Tap Haus,-111.9329429,33.8308826,2.5
"Sandwiches, Fast Food, Restaurants",uNtO37bzsKCHaRUpLm4Qzw,Subway,-112.3997883,33.6388214,3.0
"American (Traditional), Ice Cream & Frozen Yogurt, Food, Restaurants",221yaXPE1zmJqDvBVM__tw,Baskin-Robbins,-112.39315069999999,33.4575713,2.5
"Diners, Breakfast & Brunch, Restaurants",#NAME?,Eggstasy,-111.93121950000001,33.58250762,3.5
"Chinese, Restaurants",cmsAFAymfVoBitSF8R6GKw,Yao Fine Chinese Cuisine,-111.78886599999998,33.304829999999995,4.0
"Pizza, Chicken Wings, Burgers, Restaurants",R_18EYQLNho8-xH6FTRymw,Long Wong's Famous Wings,-112.11737169999999,33.51949096,3.0
"Soup, Sandwiches, Hot Dogs, Restaurants",M4zq737gzO5GqIk91X0CYw,Joeys of Chicago,-111.9898781,33.4949805,3.0
"Sandwiches, Fast Food, Restaurants",ol2r325YnfuHcq7yeO3vdg,Subway,-112.28753799999998,33.60136,2.0
"Restaurants, American (Traditional), Nightlife, Bars",pRXgWOIiQPEbosMrylsdLA,Chick Rotisserie & Wine Bar,-111.9965163,33.50978610000001,3.0
"Nightlife, Latin American, Wine Bars, Restaurants, Bars, Lounges",tcT3oHh_dwi_FYhozw3Ibw,Bomberos Cafe & Wine Bar,-112.0737503,33.5650982,4.0
"Restaurants, Latin American, Mexican, Tacos",9vub2LM7Djy8P-LPumcLXA,Tacos Chiwas,-112.04011509999998,33.465551,4.5
"Nightlife, Bars, Restaurants, Wine Bars, Pizza, Italian",ILA41PhErg4bl1royzDX4g,S & V Urban Italian,-111.8796351,33.581362799999994,4.0
"Gluten-Free, Breakfast & Brunch, Sandwiches, Restaurants, Salad",HFDZeMrm13xX5yJvpaRaIQ,Even Stevens Sandwiches,-111.7897728,33.356818100000005,4.5
"American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars",giCq1MmW-_S2tvNOAHvJcQ,Tarbell's The Tavern,-112.01262879999999,33.50912294,4.0
"Steakhouses, Restaurants, Bars, Nightlife, American (Traditional), Seafood",QSGerT1enEKlvJnYkwthHQ,Claim Jumper Restaurant & Saloon,-112.27787690000001,33.46307052,2.5
"Burgers, Restaurants",EJShgTy1lEkp48RLkMt1ag,Jack-In-the Box Drive Thru,-112.1769763,33.5381734,2.0
"Restaurants, Fast Food, Chinese",M9N2eaO8PkT7MHGLLA6V3Q,Panda Express,-111.96472539999999,33.3831468,2.0
"Restaurants, Mexican, Seafood",GvEjbCm5sNdLZ4fzJ9hvUQ,Bahia De Kino,-111.8536606,33.40795898,3.0
"Restaurants, Diners, Breakfast & Brunch, American (Traditional)",WZe-1SFcErsOT7gZY_x6wQ,Denny's,-112.3768676,33.65890007,2.5
"Restaurants, Food, Coffee & Tea",qOuyItOatd-TF5kzhUlA9g,Starbucks,-111.97691440000001,33.79740989,4.5
"Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels",ncXQtqJT5Gk1QztwTrBrgw,New York Bagels 'N Bialys,-111.92754440000002,33.5796797,4.0
"Fast Food, Sandwiches, Restaurants, American (New)",aXsmmtepl0JZNcl3pkXqww,Sacks Sandwiches - Hardy,-111.9516138,33.42122238,4.0
"American (Traditional), Breakfast & Brunch, Diners, American (New), Restaurants",ZRdHKIjiIa0k5-ufCLyIaQ,Denny's,-112.11494209999998,33.6833375,2.5
"Coffee & Tea, Food, Cafes, Restaurants",P-na-PyTJTL-uZ15vEg6zA,Mornin' Moonshine,-112.0756189,33.4500119,4.5
"Pizza, Restaurants, Italian",0WAL6O1YvcJbeDRYeRm34w,The Cove Trattoria,-111.9241619,33.5394631,4.0
"Tapas/Small Plates, Italian, Pizza, Restaurants",cs1qJvnWUg_f8g020z_3PQ,Pizzeria Bianco,-112.03764609999999,33.5073476,3.5
"Sports Bars, Nightlife, Chicken Wings, Restaurants, Bars, American (Traditional)",9E1q2uEMd881wnruicNTUA,Buffalo Wild Wings,-111.89087260000001,33.53855805,3.0
"Mexican, Restaurants, Food, Food Trucks",BxRsg5YTYnxXEhoGcabydg,Wandering Donkey,-111.95070420000002,33.8333716,3.0
"American (Traditional), Restaurants",6KgGE8B1RsR7jc9R5nuH0Q,Ruby Tuesday,-111.93961499999999,33.422191999999995,2.5
"Sandwiches, Restaurants, Breakfast & Brunch, Coffee & Tea, Internet Cafes, Food",qjuxlHtv_woIw9zPVWri5A,Daisy Mountain Coffee Roasters,-112.1286818,33.79969401,4.0
"Pizza, Restaurants",lyzrJAx85KdCQzZq8LSPMA,Jimmy & Joe's Pizzeria,-111.91022050000001,33.3212854,3.5
"Breakfast & Brunch, Diners, Restaurants",YrVoo51-y4jMxpZh-kPRfw,The Good Egg - Carefree,-111.92929040000001,33.7978115,4.0
"Chinese, Restaurants",tK-PQOhZo94fonbQVXaOSg,King Wok,-111.7717713,33.33690543,4.0
"American (New), Nightlife, Restaurants, Sports Bars, Bars",mXyLqsbe7FT1X8ZFOP8WpQ,Blue 32 Sports Grill,-111.7573206,33.3073245,4.0
"Salad, Wraps, Event Planning & Services, Soup, Caterers, Sandwiches, Food, Restaurants",DEBqmgxv2yhJ93LqGpKltg,Earl of Sandwich,-111.9397368,33.42517252,4.0
"Hot Dogs, Mexican, Restaurants, Tacos",v7UIeEvwNd3fleFE6icm3A,Tacos Culichi,-112.0170368,33.4659534,5.0
"Barbeque, Restaurants, Hot Dogs, Food Stands, American (New)",ecSkjwRS0Fn5NMkp-XwFuA,JP's Dog House,-112.04728459999998,33.52385689,5.0
"Food, Hawaiian, Salad, Restaurants, Seafood, Sushi Bars, Asian Fusion, Poke",bGno_WKbepp48eqgUfRHMA,Lomi Poki,-111.8931338,33.6268709,4.5
"Restaurants, Chinese, Asian Fusion",sQ6DZZLLJRfwUr0eDWKDDg,Tott's Asian Diner,-111.9116902,33.321264500000005,4.0
"Pizza, Restaurants",IlEyOZ_6dUuhrDqpMN2GXw,Papa Johns,-112.2371837,33.42355388,3.0
"Department Stores, Accessories, Shopping, Men's Clothing, Fashion, Restaurants, Shoe Stores, Women's Clothing",TVKr8ljkppquzOK35Pz6NA,Neiman Marcus,-111.93144199999999,33.503308000000004,4.0
"Chinese, Beer, Wine & Spirits, Restaurants, Food",amuNjN2yc_0HRgbMH5UlKw,Jade Fine Chinese Dining,-112.11804520000001,33.7971416,2.5
"Fast Food, Coffee & Tea, Restaurants, Burgers, Food",PF5rHGGZ93i7UJP9Fsvgmg,McDonald's,-112.24087,33.610428799999994,2.0
"Restaurants, Pizza",n-m449doCYEPAb5ux3dmVg,Little Caesars,-111.7218313,33.60880138,3.0
"Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services",6nKR80xEGHYf2UxAe_Cu_g,The Thumb BBQ,-111.8792572,33.63936996,4.5
"Restaurants, American (New)",JS9kiCf8YuHWbCnHQDSkrA,Palm Court Restaurant,-111.9154827,33.5487869,4.0
"Mexican, Restaurants",FiG8PzWKRYehtPPcPtOStw,Salsa Blanca,-112.200473,33.67004818,4.0
"Fast Food, Hot Dogs, Middle Eastern, Restaurants",W-5cdzVAeRv0EtAeed4tqw,Sam's Gyros,-112.073536,33.567452,4.0
"Restaurants, American (Traditional), Steakhouses, Barbeque",NpFtNc51LaZr8Y5_o2wRaw,Texas Roadhouse,-112.23756609999998,33.6321621,3.5
"Breakfast & Brunch, Specialty Food, Food, Tacos, Salad, Restaurants, Event Planning & Services, Caterers, Mexican",4PqqRa7o_eNydKdGWYdIog,Tempe City Tacos,-111.93838740000001,33.3915708,4.5
"Event Planning & Services, Fast Food, Caterers, American (New), Restaurants",KOA3EA_eFxiRz5P2lAmM_Q,Chick-fil-A,-111.97467160000001,33.31926689,4.0
"Salad, Chicken Wings, Restaurants, Italian, Pizza",eHhBGqQbDpCcSpz7SZPTbA,NYPD Pizza,-112.23577150000001,33.6531023,4.0
"Restaurants, Pizza",5DLxa3EQQykWFdIJ-KU5jg,Little Caesars,-111.78775619999999,33.40730019,2.5
"Food, Mexican, Restaurants",yb7ZtgMWSZboG_sSUx9g2A,Fuego Taco Shop,-112.018653,33.641031,4.5
"Nightlife, Bars, Restaurants, Japanese, Sushi Bars, American (New)",CDpoJiqgM04wqQTZ6QkTqQ,Squid Ink,-111.9232574,33.5822287,4.0
"Japanese, Restaurants",1zJdyb0mqvNhE-3xaaHwIA,Sea Saw,-111.92753200000001,33.49919310000001,4.5
"Indian, Restaurants",iE71iwcSljg3xm2GB2Y9aA,Marigold Maison- Paradise Valley,-111.97837179999999,33.59863088,4.0
"Coffee & Tea, Food, Internet Cafes, Juice Bars & Smoothies, Delis, Restaurants",SE6VY8EWjEuAOzl19IQiCw,Krazy 4 Koffee,-112.06369009999999,33.7977104,4.5
"Restaurants, Japanese",mHGnzvQu8TZF_PEU0-yJJQ,Ichiban Japanese Restaurant,-111.9149003,33.4211717,2.0
"Cafes, Restaurants, Food, Coffee & Tea",DWpVDSFCKEXAz9HGlSS6zA,Fat Freddy's Cafe,-112.368679,33.6294444,4.5
"Restaurants, Sandwiches, Fast Food",#NAME?,Subway,-112.15194,33.5814942,4.0
"Restaurants, Burgers",0yHY4FHCTOIshPiPc9EYBQ,Smashburger,-111.997993,33.435548,3.5
"Active Life, Dance Studios, Pizza, Performing Arts, Fitness & Instruction, Restaurants, Arts & Entertainment",4P0X_Mfb0HEmvXR47w_xWg,Adaptive Force Performing Arts,-111.92574979999999,33.7814775,4.0
"Breakfast & Brunch, Burgers, Restaurants, Sandwiches",cCFWegvTavai-oOE4C4sDA,Village Inn - North Peoria,-112.2702987,33.7118664,3.0
"American (Traditional), Restaurants",Px6nQ8DtMy6gDylIdPNl8g,On Deck Sports Grill,-112.030244,33.662594,3.0
"Food, Restaurants, Bakeries, Cafes, Sandwiches",bY8K4r_RGOm_1cspCOKdPQ,Paradise Bakery & Cafe,-111.90209209999999,33.43390091,3.0
"Bars, Restaurants, Burgers, Beer, Wine & Spirits, Food, Nightlife",dQxowi8M1a0F6QFLzp8T7Q,Devils Den Sports Grill,-111.9328392,33.4231472,2.5
"Bars, Nightlife, Restaurants, Mexican",QvyG5fZ0mxo5yeLY8jabCA,Dos Gringos,-111.85820929999998,33.326614,3.0
"American (New), Nightlife, Bars, Restaurants, Wine Bars, Beer Bar",CTJnbFKMq7Nv7xnLmjgOyg,Scapegoat Beer and Wine,-111.9265965,33.49846226,4.5
"American (New), Food, Restaurants",A_eOsa1xKsOzN-3cZ8Tohw,MPJ's Grill,-111.7188993,33.6248706,3.5
"Restaurants, Bars, Nightlife, Sports Bars, American (Traditional)",VbqtbvvtNOe-YKA61-fSNA,Armadillo Grill,-112.04087870000001,33.509564000000005,4.0
"Sandwiches, Restaurants",0sE5o_dunOdUMvXVsaJSsA,Which Wich,-111.92402340000001,33.6763236,3.0
"Restaurants, Fast Food, Sandwiches",XuLXX5B5W1P-iNpgXmqmjQ,Subway,-112.363106,33.484027000000005,2.0
"Restaurants, Sandwiches, Delis",WGeNHjUPCUdwfOHu0EKVug,Archie's Delicatessan,-112.1853699,33.6107503,3.0
"Restaurants, American (Traditional)",6tl_UiTs8uqZO3iSfdMZmA,Deemos American Grill,-112.0270172,33.5080183,2.0
"American (New), Event Planning & Services, Breakfast & Brunch, Venues & Event Spaces, Restaurants",QJMRAjCIuqrHGmeAZeYzOQ,Mesquite Grille,-111.853388,33.616114,3.0
"Mediterranean, Greek, Restaurants, Vegetarian",Q8GBjqGjamI3b2ZaPQNa_Q,Pita Kitchen - Arrowhead,-112.2004519,33.6702064,4.5
"Mexican, Restaurants",SYKIUCvN9JdSkVampgccfA,Amado's Mexican Food,-111.9117794,33.3658739,4.0
"Pizza, Restaurants",gWY94C5EgNClUOwqJXrBGg,1 Brothers Pizza,-112.305348,33.434326,4.0
"Cheesesteaks, Sandwiches, Restaurants, American (Traditional), Delis",L9pTWWAATj7HoLaRe6ZA1Q,Philly's Famous,-111.85970259999998,33.3227508,4.5
"Fast Food, Sandwiches, Restaurants",UXd3218Enn8Lt5csBxwC8g,Subway,-112.069505,33.45243,2.0
"Laotian, Vietnamese, Chinese, Restaurants, Thai",DncR06kFZ_u2O4NlbPPE4w,Tottie's Asian Kitchen,-111.94437759999998,33.639741,3.5
"Sports Bars, Restaurants, Bars, Pubs, Chicken Wings, Nightlife, Beer Bar",x_bhc4U_e6lv7Dat2WV04w,O'Briens Sports Pub,-112.13393959999999,33.552314100000004,3.5
"Mexican, Restaurants, Hot Dogs",7mMRxAxiPvhyLvbmhnGFsQ,El Guero Hot Dogs,-112.20396000000001,33.423,3.0
"Restaurants, African",RtezzamKiC6Y607SJuqQIA,Max's Mukhaase,-111.86007240000002,33.3374534,4.0
"Caterers, Coffee & Tea, Food, American (New), Cafes, Event Planning & Services, Restaurants, Breakfast & Brunch",R_6ZdYGyq7W1EE2fXML30w,Cranberry Hills Eatery & Catering,-112.0732533,33.4826645,3.5
"Food, Seafood, Mexican, Restaurants",9-3de3NJte9Y2YsE3yl2EA,Mariscos Y Barbacoa La Bella,-112.01096670000001,33.4652069,2.5
"Coffee & Tea, Cafes, Food, Tea Rooms, Restaurants, Breakfast & Brunch",qaPSbg690KaX5av6xsSV4Q,Songbird Coffee & Tea House,-112.070481,33.458999,4.5
"Italian, Nightlife, Bars, Restaurants, Wine Bars",tR4VVIdzcJCQus4GUFq3IA,La Cucina Bistro & Wine Bar,-111.8762466,33.61880625,4.5
"Mediterranean, Restaurants, Food Trucks, Food",FjWIgiXMoniin5gvh6v1rA,StrEAT Gyro,-112.2443628,33.651336799999996,4.5
"Restaurants, Coffee & Tea, Cafes, Food",DNkuGBECRqLSb7nmsHh6-Q,CCV Peoria Cafe & Coffee Shop,-112.20815420000001,33.7104984,4.5
"Sports Bars, Seafood, Dive Bars, Chicken Wings, Restaurants, Nightlife, Bars, Dance Clubs",mURFkV4ZFTxNCLApbUox8Q,Aguila's Hidaway,-112.34029509999999,33.44746645,3.5
"Middle Eastern, Restaurants, Mediterranean, Persian/Iranian",Er2XAYN8l1BadlYFwiPb9g,AZ Kabob House,-111.9319459,33.65794127,4.5
"Fast Food, Restaurants, Chicken Shop",q_xY-2SYi-RJ38zJy36GUA,Bush's Chicken,-111.755407,33.3061946,3.0
"Caterers, Desserts, Bakeries, Event Planning & Services, Custom Cakes, Sandwiches, Coffee & Tea, Party & Event Planning, Restaurants, Food",M0yfSpeDaYTPEnLjw_0g_g,Baker Wee,-112.15066909999999,33.60990161,4.0
"Restaurants, Vegetarian, Mediterranean, Middle Eastern",ksZfCKQHYdCu0e8KbMuBDg,Olives Mediterranean Grill,-111.98359520000001,33.5993478,4.0
"Chicken Wings, Fast Food, Chicken Shop, Restaurants",O4TYqnhpXpyrgJBkucaeaw,KFC,-112.28951979999998,33.60208808,1.5
"Seafood, Restaurants, Mexican",Ouh38adC9WbCRSSyYGtL3Q,Margaritas Grill,-111.831961,33.4155186,3.0
"Restaurants, Delis",6tewQ0ymGsSx56D-B-KPog,Katz Delicatessen & Sandwich Shop,-112.0740912,33.5126276,3.0
"Noodles, Vietnamese, Soup, Restaurants",OLtKiypfkWv8cH2YfArtZQ,Pho Bar Central,-112.02101,33.4950538,4.0
"Restaurants, Sandwiches",jAO8qYbiYZNbmhK8Knr9Mg,Rev Bistro,-111.9660244,33.4020704,3.5
"Restaurants, American (New), Italian",TP6hgLCNGkqjFne9nCfaiA,Fred's at Barneys New York,-111.922301,33.493947,4.0
"Italian, Food, Pizza, Food Trucks, Restaurants, Food Stands",scoJNOqcw2peNlO31UYTaA,Pizza People Food Truck,-112.067982,33.4588801,4.5
"Food Trucks, Food, Coffee & Tea, Breakfast & Brunch, Restaurants",ltsK5vMHe6kNUdWg6BA8aA,Morning Kick,-111.7316557,33.2774819,4.5
"Restaurants, Fast Food, Chinese",G_1M9_yX5ThAROn1zKKpQg,Panda Express,-112.30790790000002,33.4490139,2.5
"Restaurants, Barbeque, American (Traditional), American (New), Southern",Fe4o11JYvB0NCTFC1GLITQ,Dickey's Barbecue Pit,-112.27514340000002,33.46431674,3.5
"Sandwiches, Wineries, Food, Beer, Wine & Spirits, Arts & Entertainment, American (New), Restaurants",3HmrkEZQWaemS2aPoe-xJA,Twisted Rose Winery and Eatery,-111.89747129999999,33.6222438,4.0
"Sports Bars, Nightlife, Restaurants, Bars, American (Traditional)",ALgH4S65heUffUjcBiNJ0Q,West Addison,-111.8904868,33.67210479999999,3.0
"Greek, Coffee & Tea, Food, Restaurants",vwmVWRlYnxdPrsl4MEg3eQ,Opa Life Greek Cafe,-112.22543770000001,33.64199719,1.5
"Restaurants, Japanese",lTfY81d2hGC6Qd6zxS1Y4w,Kyoto Bowl,-112.22964309999999,33.638293299999994,1.5
"Restaurants, Barbeque",UFasbkbT9-U7M4Qh6bD2cw,Tha Spot BBQ,-112.153974,33.611160999999996,5.0
"Pizza, American (Traditional), Burgers, Cafes, Restaurants, American (New)",Xw2o0GKWxDRMFPR0a4IOoQ,Life Cafe,-111.9643591,33.3413432,3.5
"Lounges, Gastropubs, Sports Bars, Breakfast & Brunch, Bars, Wine Bars, Nightlife, Restaurants, Pubs, Italian, Beer, Wine & Spirits, Food, Tapas/Small Plates, Beer Bar",hhhHgSaSl6GLtuDoDrMUZQ,Rott n' Grapes Uptown,-112.0742982,33.50711809,4.5
"Burgers, Restaurants, Fast Food",nJPEadWQ0ijyPhACS1PyVQ,McDonald's,-111.9052801,33.544218699999995,4.0
"Food, Sandwiches, Party & Event Planning, Caterers, Restaurants, French, Desserts, Creperies, Juice Bars & Smoothies, Event Planning & Services, Breakfast & Brunch",uTCOEqjuVAXUOzti5TWj2Q,The Crepe Club,-112.0287274,33.5104431,4.0
"Restaurants, Korean",65e61KHNShcDeRixzJ6o2Q,Asiana Kitchen Tofu & Grill,-111.87297450000001,33.3940119,3.5
"American (New), Breakfast & Brunch, Restaurants, American (Traditional)",18Kq9h53nYbmXAIoMtj6HA,Village Inn,-111.80641609999998,33.3798442,3.0
"Restaurants, Mexican",036SeqOKaKx89Liw5RDKqA,Francisco's Mexican Food,-112.01252279999999,33.3046352,4.0
"Chinese, Restaurants",omisgpMWACc0eL6rKGjAGQ,Jade Palace,-111.8988152,33.555735299999995,4.0
"Restaurants, Mexican",rfdMlP5V4p37n3cDDGLFbg,Salty Señorita,-111.8069973,33.3809022,2.5
"Restaurants, Japanese",4ldf-T1Mjw6soOXVWSBOoA,Samari Sams,-111.92224809999999,33.58413970000001,4.0
"Breakfast & Brunch, Restaurants, American (Traditional), Diners",uTdktgtWHD50Rvi14p7YyQ,Starliner Diner,-112.17065690000001,33.53075262,4.0
"American (New), Nightlife, Restaurants, Lounges, Bars",l_Ncq1XfTmd9q_zvGQiW0g,Sangria's Lounge,-111.915654,33.548889,3.0
"Mexican, Event Planning & Services, Restaurants, Caterers",Ktia9NJfvxVxTLVcEnw9zQ,Carolina's Mexican Food,-112.03619679999998,33.5971716,4.0
"Restaurants, Bakeries, Desserts, Coffee & Tea, Food, Sandwiches",F2F6rJ_SPo-lUhJ_AmufLA,Tammie Coe Cakes,-112.065568,33.45869213,4.0
"Restaurants, Coffee Roasteries, Breakfast & Brunch, Food, Coffee & Tea",7kXlvkT5b-bIFa2dIecabQ,Press Coffee - Palette Chandler,-111.9014334,33.2944435,4.5
"American (New), Restaurants",VV13zmVP7OJf7DcqhKwxvA,Poolside Cafe at Oakwood,-111.87250549999999,33.22705225,2.5
"Thai, Restaurants, Vegetarian",CtIQFYX_XRf3N41LLSpUjg,Mango Thai,-111.841425,33.3880679,3.0
"Arts & Entertainment, Nightlife, Restaurants, Music Venues, Coffee & Tea, Food, Breakfast & Brunch, Bagels",pr2nYg8i4mjW6J2fM-Y5dA,Bunna Coffee,-111.9286947,33.3501281,4.0
"Coffee & Tea, Burgers, Restaurants, Food, Fast Food",gMWqOTN7MlPce2MyPwYeZg,McDonald's,-112.000875,33.4785773,1.5
"Restaurants, Hot Dogs, Street Vendors, Food",8n4YzZ_A3zyvb4PpY_yhTg,Hot Dog Daddy,-111.9492446,33.833785999999996,4.5
"Specialty Food, Food, Coffee & Tea, Ethnic Food, Juice Bars & Smoothies, Restaurants, Vietnamese",huOYYw8ZgohIxZ6Y3aNOcQ,Juice House Boba,-112.13450800000001,33.580671,3.5
"American (Traditional), Restaurants, Desserts, Food, Bakeries",gxRHcGs9usejqTGrM5_AiQ,Bakie Bites Bakery,-111.8585135,33.35171484,4.5
"Restaurants, Bars, Wine Bars, Bakeries, Coffee & Tea, Breakfast & Brunch, Food, French, Macarons, Nightlife, Grocery, Specialty Food, Beer, Wine & Spirits",fyJAqmweGm8VXnpU4CWGNw,French Grocery,-112.08215320000001,33.51644939,4.0
"Pizza, Italian, Bars, Nightlife, Restaurants, Wine Bars",ABeszRTxM38rjrRQATo-2g,Sauce Pizza & Wine,-111.78786409999998,33.28557334,3.5
"Burgers, Diners, Restaurants, Breakfast & Brunch",0W_6DPifCQwGU5N_LaiE9g,Silver Platter,-111.680802,33.582406,3.5
"Restaurants, Burgers, Coffee & Tea, Fast Food, Food",zLHOG9ty0OcXSQ6iy2BwwA,McDonald's,-112.06556640000001,33.46508992,2.0
"Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Convenience Stores, Beer, Wine & Spirits",zPAMOTc_VEfgPxseUtWw-w,URBO,-112.081398,33.454725,4.5
"Professional Services, Furniture Reupholstery, Grilling Equipment, Wholesale Stores, Wholesalers, Home & Garden, Shopping, Furniture Stores, Kitchen & Bath, Restaurant Supplies, Appliances, Local Services",SSOIXua3y15nIwB7EBnYUg,Generation Restaurant Supply,-112.17568670000001,33.46102631,4.5
"Restaurants, Mexican",mGriYfWJcLJGjkuqr0a5OA,Los Favoritos,-111.6863256,33.31850135,4.0
"Fast Food, Burgers, Restaurants, Food, Coffee & Tea",A501H7iyCmHFovaZ8L3Pkg,McDonald's,-111.9095251,33.39443899,2.0
"Fast Food, Burgers, Restaurants",QCnT5MdeWrbZ2SjvDY4_cQ,Jack in the Box,-112.0992886,33.4510395,1.5
"Hot Dogs, Ethnic Food, American (Traditional), Specialty Food, Food, Mexican, Restaurants",kDkHOrLyYfzvIeus7GMr-g,La Reyna Del Hot Dog,-112.18735530000001,33.56685742,4.0
"Greek, American (New), Restaurants, Mediterranean",V1wBDq0zqq2dlyQvzD5PaA,101 Bistro,-112.07471399999999,33.449799,3.5
"Caterers, Event Planning & Services, Mexican, Seafood, Restaurants, Fast Food, Salad",51K92JdkWICGDvvVCBYhFA,Rubio's Coastal Grill,-111.79133359999999,33.2781035,3.5
"Restaurants, Vegan",ivjJxc3IhwrY8r-ESilEiQ,Whyld Ass,-112.06543899999998,33.50822557,4.5
"Soup, Sandwiches, Restaurants, Salad",iWGO0_z8Rdwd3ZViapwRhg,Panera Bread,-111.9055821,33.43294544,2.5
