,Unnamed: 0,business_id,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
67,67,-4w2eZqQJcS-UNuB1lCPFA,1,1,1,1,2,6,5
68,68,-4z8BUBG6DSLVpbFAs8HMg,4,9,14,12,21,22,18
69,69,-4zjMPJp-iUFaunyDcRx0A,0,0,0,0,1,0,0
70,70,-5-YYvq8Pel6aHt7Wu_IHA,0,0,0,0,0,1,0
71,71,-50Q1gPsX7yHEirdQZoIHg,0,0,1,0,0,0,0
72,72,-55Fcc4v2sQ51422nXXgmg,6,0,0,1,4,6,1
73,73,-5MrVsxY-9Z0ykQueccwFg,4,1,3,1,1,1,2
74,74,-5QWiL1jpzQDpQSVyaP6Lw,0,0,0,0,0,1,0
75,75,-5UH4lDjDzed89E8HwnGfw,1,0,0,0,0,1,0
76,76,-5brzniWtye3w__aEvCaAA,0,1,0,2,0,2,3
77,77,-5l11lAM0jSDp8JNNIc_bg,1,2,4,1,2,4,0
78,78,-5oTe59f_Ij5uUpM7VmgMg,0,0,0,2,1,10,3
79,79,-5vQxQpMuAJzm7Gu01fdoA,0,1,0,0,0,1,4
80,80,-649HdHuChGUfmUc-JcGpA,1,0,0,0,1,0,0
81,81,-6Ju_FbGTEadqppx9Dmpkg,0,1,0,0,0,0,0
82,82,-6O_cneh21YEljiDhVX78g,1,1,0,2,2,1,5
83,83,-6R2wYNK-FQChXfhcBGAYw,15,7,6,9,11,6,4
84,84,-6U5r96gk6gQJLgipOn1ug,24,29,29,34,29,65,30
85,85,-6gN412KV3Bi9TqwgFQCYA,2,0,1,1,1,0,0
86,86,-6h3K1hj0d4DRcZNUtHDuw,221,248,250,285,274,403,425
87,87,-6kNwcnLbsyKGIjFlxMD2g,0,0,2,1,1,2,2
88,88,-6pbHNi0J3m2PiXhldxtLA,0,1,0,0,1,5,0
89,89,-6tvduBzjLI1ISfs3F_qTg,307,290,380,280,355,641,608
90,90,-6wyNW0SzFjVNlDtzTD3Ow,3,7,5,7,1,9,9
91,91,-79cl_yASWXiv7RmzirNxA,10,6,4,16,5,5,15
92,92,-7HB0UjguXW8csOH9svG4Q,7,6,5,7,6,18,10
93,93,-7O2Mw80R_7uYcjyUR5Urw,0,0,0,0,0,1,0
94,94,-7OJbmADnDB3OYJR-McKoA,0,0,0,0,2,1,1
95,95,-7TDMMf0ZrJyoh_jHxAzzA,0,0,0,0,1,0,0
96,96,-7ZjpebPJPYsAkOCDAZ-Sw,0,0,3,0,1,3,1
97,97,-7d3UqQYYcBxbDH2do86sg,5,5,6,13,15,19,10
98,98,-7kxUm55-Yvn2TaBXnuF8w,0,0,0,2,0,0,1
99,99,-7lwVdCGETHYCNRRB_V2Eg,3,1,2,1,1,1,0
100,100,-7nQCUxVvHh-7UGnBD-5Yw,1,1,2,2,4,3,0
101,101,-7q9m5IByOBdFUZe0qXY2Q,0,0,0,1,0,1,0
102,102,-8-JRYJpYbCVD1nu7m_8AQ,2,3,2,1,5,2,0
103,103,-82Z0wTA-nOCLUVD4XXIBA,8,8,4,2,14,15,23
104,104,-86hc_y6sbXNnSGqlaHmhQ,4,2,12,5,5,18,15
105,105,-8By6bzhEufpPYZKX4snfA,0,0,0,0,0,1,0
106,106,-8JaNeG3etLgOVyg2gOIiA,13,3,10,9,15,15,25
107,107,-8NX2Ba7pNAoXbgmQSWlVA,1,1,0,1,1,0,0
108,108,-8QlV3b_9H4BAh6LgMIr1g,68,54,53,64,62,83,92
109,109,-8QqdsogphMvQni14ZVXuQ,0,0,0,1,0,0,1
110,110,-8m7vEM0lK2Ab9k_6OuOeA,3,1,2,0,1,0,0
111,111,-8wrG6WiLkSRS1JgE7jD0Q,3,2,1,2,8,9,8
112,112,-9A-46iJjMrKslecqdQaMg,15,21,24,23,24,39,24
113,113,-9D4JHiKgd-1Eay-KbVpwA,0,1,0,0,1,1,3
114,114,-9QUEqf0StMKU-oy8BK5qg,0,1,1,2,0,1,0
115,115,-9aaQgcvbvxStNZTJrPfMw,0,1,0,0,0,0,0
116,116,-9eNGMp8XiygI8t8QFuFWw,99,81,80,71,100,187,191
117,117,-9lHbbm5wOrS7sjHPWWWlw,1,2,2,0,0,1,2
118,118,-9nai28tnoylwViuJVrYEQ,92,60,91,87,123,275,344
119,119,-9oLjjh2AW0FqgLy_Yv4ZQ,0,0,0,0,0,0,1
120,120,-9xZZLLxuQabvBDODqpM-g,1,4,1,2,2,4,5
121,121,-A6iU1EJdtDr-APcJlP3yg,3,1,4,4,3,2,0
122,122,-A9sm-E6uQxWTJ_MuyOzFw,0,1,1,1,3,5,2
123,123,-ACyrz-5KeQS9UDbpll5Hw,0,1,0,0,0,1,0
124,124,-ADlf3526c82YWREIhCxVg,0,0,0,0,0,0,2
125,125,-AHS68n6wkMuQrx3bH839w,0,0,0,2,0,0,0
126,126,-ALn0Ehm9SUS-AiAL5vJow,0,0,0,0,0,1,0
127,127,-AMDAW2MTKvNo51U59oMXw,6,3,5,2,4,3,1
128,128,-AcyJ7-rjKPdEYJa-gplZg,0,0,1,1,1,0,0
129,129,-Aep7giC4gPb1g1WRDd07Q,0,0,3,2,3,0,0
130,130,-AlQhJ2anl3f8YL71VEG-A,2,5,2,2,3,1,0
131,131,-AliE9BXGQl8pIrdlpCOxQ,6,14,9,18,8,15,16
132,132,-AyX-C57o1YdrKNyhhg4kA,2,5,0,2,1,5,0
133,133,-B0Lsvc1jaVU0dx9VowP3g,2,0,1,0,0,0,0
134,134,-B0cfDL0_7PR1rLt0ThiQw,1,0,1,1,1,0,0
135,135,-BAXsDdm_jKJBpsmPi8FKQ,1,4,0,3,1,1,4
136,136,-BCsZDnoWqGB_hLnpY0LCg,2,2,0,2,0,0,0
137,137,-BEo8PDIyZd55oV-85HE6Q,3,4,3,5,2,15,10
138,138,-BIQVhA0PJcnQ5oQ7BV8AQ,1,0,0,1,1,0,0
139,139,-BJVR_DO5r-MfQ2tiszeOg,24,23,18,15,18,2,1
140,140,-BK5sQvt8BiHWvGH078mKg,0,0,1,0,0,0,0
141,141,-Bdw-5H5C4AYSMGnAvmnzw,8,9,197,209,205,330,358
142,142,-BrMNg4MbpftOUTjOMVp9g,9,3,19,20,25,29,27
143,143,-BxWyEIQ6wypT-37MzZizQ,211,149,180,202,200,500,495
144,144,-CBZRTYGcksmshymcD5iMA,0,0,3,1,1,0,0
145,145,-CIKKPeyjqN5SD7lVfIUZQ,0,1,0,1,0,0,0
146,146,-CLD5kiPRZJ3QyulrmFMPg,1,7,7,1,2,1,1
147,147,-CNXJkqeJmLDvmTxGmOVww,41,42,43,39,49,41,27
148,148,-CPD0t8h2Acd0r93779sKw,0,1,1,0,0,1,1
149,149,-CRouu447RBTLCLUKSt9TA,0,1,1,2,3,3,0
150,150,-CSDJn_GGkuHMGh91KnXhA,1,4,2,2,1,3,2
151,151,-CTmg9JYXWQkXnnW9uw8vA,29,31,24,22,22,14,12
152,152,-CU5HV4sYkBuwdfyOWZEDA,2,5,8,5,3,7,5
153,153,-CfFjcCcGGDM9MVH_d42RQ,65,66,85,87,75,158,175
154,154,-ChcBjI6WgpwOujPM-JkYA,3,1,2,3,0,4,2
155,155,-Co96GK9vVZcRUJJUrUUNQ,4,4,5,1,4,2,2
156,156,-DBH_JFRnVJCfic8fHsZog,0,0,0,0,0,1,0
157,157,-DDK54xfTHgOgMNdMPoGUA,0,0,1,1,0,0,0
158,158,-DIZwl4igqddB_RQr_u3sg,0,1,0,0,0,0,0
159,159,-DPq2CaW-mBYZ3hfed4pxw,0,1,1,2,4,1,0
160,160,-DUbOEoenPbeJu35e9Ukrg,31,26,34,27,31,52,42
161,161,-DaXLvd3M8OACEEuNR-BDQ,2,1,0,0,2,3,6
162,162,-DcE_4T0_iRKGLARmjsjUw,5,5,3,7,1,8,4
163,163,-De4AV1Fx67mDMGrFOw44Q,359,325,364,413,513,785,754
164,164,-DeOH7G9Q_-PetCHJNj2gg,4,2,4,3,3,4,2
165,165,-DgLrAuOKilHSeH8gFheEw,14,33,36,40,57,61,4
166,166,-DnHJe6KzF2hRv8H2IQ78g,1,2,4,4,3,15,5
167,167,-Dnh48f029YNugtMKkkI-Q,16,56,163,157,217,332,188
168,168,-DrDzpZaMrNnH55ZVyTXRQ,74,69,70,71,102,124,75
169,169,-Du1WSRseqUXbCt_K-D-ww,29,21,15,21,25,5,0
170,170,-E7QkLxzR1rhR15j3sW9wQ,20,12,10,8,9,1,0
171,171,-ECS2TgyvvTjCqFNYCBfJA,1,1,1,1,1,2,0
172,172,-EHR41dNT3SZZ-oflUca0Q,0,0,1,0,1,0,0
173,173,-EPn4MPf6HanAi2dQvoLWw,1,3,5,2,3,7,0
174,174,-EfU6CLbv5b2oB5-bDnZ-w,1,2,1,4,3,0,0
175,175,-EmzCq1b_diV2e8HJilTlQ,0,2,30,15,13,17,1
176,176,-EnsDiGk4UhHQx-E4dwQEA,0,0,0,2,1,1,0
177,177,-Exy3mLCqzh-MMIqeuJ4Tg,13,4,11,13,11,16,11
178,178,-F3EKrtmb-uhZjojHc8u3A,2,0,2,1,1,1,3
179,179,-F4_kxPQaDTMGlGpJqFplg,6,6,4,1,8,13,1
180,180,-F5mm0-YeCI7viSiOwVAAw,204,168,181,182,287,774,808
181,181,-F72wlLNRDWj-kp6YFPBcg,0,3,0,5,1,0,0
182,182,-FAu-5LFiHxyvHk_aHyTQw,1,0,1,1,2,0,0
183,183,-FCUVf01SPTwVm5tCyu8Lw,4,3,5,1,2,2,1
184,184,-FLnsWAa4AGEW4NgE8Fqew,853,869,956,956,1154,980,950
185,185,-FRfiY1xld7oGmldZYRZhA,0,1,0,0,0,0,0
186,186,-FRzFwd76Et2mr0wkpngEA,6,3,2,3,4,6,2
187,187,-FWhwGTP9YsV_5ONgdQ4hg,2,1,2,1,3,5,3
188,188,-F_NSIK1YuRulVV7IlbeuQ,0,1,1,1,0,1,0
189,189,-FoOVuzD07jQVMjUil5Vpg,0,1,1,2,1,0,0
190,190,-FrgepJj0h-OWU1CupUrOQ,16,14,13,22,21,42,58
191,191,-FveSBaantlFExq__ESLcw,0,0,0,1,0,1,0
192,192,-FyfimfMvvOcMT7Cr4q2Aw,9,5,2,8,6,15,10
193,193,-GFPQagbSjgywMZTKoZdTA,0,0,0,0,0,2,1
194,194,-GS7mhPszZSJtfDwSdp6OQ,0,0,2,2,1,0,0
195,195,-GUZxfr0pbFk4nulmop2Nw,5,5,7,4,7,5,3
196,196,-GUi0xyzwT9KJPS0v96dRA,5,7,2,7,1,3,5
197,197,-GY2fx-8udXPY8qn2HVBCg,1,2,3,1,1,0,0
198,198,-GbRJDCekliebtEp4Uygkw,0,1,3,0,1,0,0
199,199,-GpTZfp2qxyV-20Vu9_mBg,0,3,19,17,22,27,38
200,200,-Gy0BAMgRN4sGlY7theqxQ,35,43,43,50,46,56,72
201,201,-H1-IzxW6CXmjhmF5F6iMA,6,4,1,3,2,6,7
202,202,-H1FehIMGaTk_0j73Q-S_Q,2,0,3,0,2,0,0
203,203,-H3L511nPmzOiLaL2HmDsA,0,0,0,1,0,0,0
204,204,-HO8ejDGgvj_Guw3R6lH1g,1,4,6,7,5,8,4
205,205,-HW2SDyKrFTNWIsr1fXucw,0,2,0,0,0,2,0
206,206,-HZmpItIji9JypitF3bglg,1,2,2,4,2,4,0
207,207,-HbTh_spJOeyEbdj4geK2Q,8,8,4,5,10,5,13
208,208,-HfeXGN4O83x8P4rZc-_kQ,0,1,2,1,0,3,2
209,209,-HlyfS4iSUfHfLlKJbEJdA,18,7,12,8,21,37,36
210,210,-Ht7HiGBox8lS1Y8IPjO8g,392,378,332,411,473,948,998
211,211,-I1-KL5RkUcDM3JbYPI_1g,87,94,80,97,100,151,121
212,212,-ICQMI130-eTmQb5TaYH8A,10,4,7,11,13,31,31
213,213,-ISkELlOwvY7DvbPCVX3Aw,1,0,1,0,1,0,2
214,214,-ITj6Pu8Gdw8MmLf0XBEKQ,205,187,200,233,243,338,297
215,215,-IZvuqxekWEvJqDw308daQ,98,95,101,122,145,195,202
216,216,-IgpK9WT_m5vzjK8jScEOg,0,0,0,0,4,2,6
217,217,-IhkEM4mLoWdtvSQYTyLOA,1,7,5,1,5,8,8
218,218,-Iu6EwsbZQZY8HTBN853Iw,4,10,12,4,8,9,8
219,219,-Ix1tCwmfW0fNjAnSWhSRw,0,1,2,2,1,1,0
220,220,-J-d5x84RuyLNiUzOhO_6A,25,15,19,11,12,29,25
221,221,-J1OaCKXduY9uHf8qGxYsA,4,13,9,13,8,7,1
222,222,-J5j3fIuIm5-1E0WWUhr4A,0,0,0,1,0,0,0
223,223,-JXNpzCQdjHJgdBWkNWyUw,1,0,1,0,1,0,0
224,224,-JXp6bQTuIlS7EjW-xhBug,1,0,0,0,0,1,2
225,225,-Ji5bVJKAakxYekcUVwJaw,11,8,10,2,3,0,0
226,226,-Jir6LZcD9VS4jiBmuGK0g,29,12,3,18,14,33,46
227,227,-JuHqV9ZIfc0U5JVsicYDw,39,33,40,54,58,21,19
228,228,-JwSuDqyFILFJmVpjrVbwA,101,95,80,124,133,196,217
229,229,-JzL9Xkx42k82uKSy3X5Zw,6,5,6,5,4,21,5
230,230,-K3kqmykKlhlB4arCsLHOw,39,20,22,24,23,43,35
231,231,-K5pWTbDU8gb9hlVlbMHkg,0,0,1,1,1,0,0
232,232,-KEtVS5Fdb8QP-jhdAG4IA,2,3,0,1,2,2,0
233,233,-KHKLdq-Is5JuQ-p1YdNWQ,10,2,5,2,5,9,0
234,234,-KIdCJnkt5N8rnnmWR5MQg,73,62,102,79,113,74,67
235,235,-KNRAU_BkvCKU2szFd2drg,9,13,7,8,12,17,3
236,236,-KUOt2xUcGxpVPezXZ-AzQ,15,8,10,4,12,2,0
237,237,-KYoPHV7g9QeGnpof3lRqQ,0,6,6,3,2,8,4
238,238,-KsER702IEQF7QOXANuAIg,50,28,52,57,215,129,91
239,239,-KxJSU9nTJ-Mlx-C44NUCQ,0,3,0,1,0,0,0
240,240,-L0QScIst3HnR52rNydTKQ,1,0,0,0,0,0,0
241,241,-L73P0cNbmMKIrRfaqE5yQ,10,2,10,5,9,23,10
242,242,-L7W3egf0xOyT2oZQBLulQ,0,0,1,1,0,0,0
243,243,-L7mpRnghi0ZlSsO5wExZA,77,57,76,58,77,98,93
244,244,-L9JOKcJw81Rxy5n03yqZw,0,5,4,3,3,6,4
245,245,-LCqocTepgGRPcWkVYYSYQ,5,2,4,3,1,1,1
246,246,-LQUovnoUIDvRZcWJ2SavA,3,0,0,1,1,0,0
247,247,-LRlx2j9_LB3evsRRcC9MA,17,17,19,19,20,18,13
248,248,-LVpf-mKjrWT51JgCY3gRQ,162,122,132,139,153,164,162
249,249,-LYfsbZtxjVQF57_LNiVEw,0,0,0,0,1,0,0
250,250,-LZn57ktO-SHm0k_nJsE_Q,0,0,2,0,2,0,0
251,251,-LbNfYuwyvTDFjh7TFygug,2,5,3,6,5,0,0
252,252,-LdlgJrCqdgmf2Zq005cIg,0,0,2,0,0,0,1
253,253,-Ll4vN947kBXmNxdDjeBCQ,2,0,2,2,3,2,2
254,254,-M-7tyeEgaa1v8EaryqtHA,1,0,0,0,0,3,0
255,255,-M6OV8aHvxMCFNmjP3B8vw,5,3,4,3,2,1,4
256,256,-MKWJZnMjSit406AUKf7Pg,6,34,77,60,62,139,101
257,257,-MRv4Q6MaA2w2rCJbrct_g,0,0,0,2,0,6,0
258,258,-MUn9i6htSMJUFXxToaBVg,4,6,7,4,11,20,27
259,259,-Ma5JqzuI_3xIAtpNJfQ2g,31,50,48,44,43,63,40
260,260,-MbHLy9kJYDe5LRtS5q7oQ,0,0,0,0,1,0,0
261,261,-MfgRUMbYU9iEADApN1G9A,2,2,1,4,4,2,1
262,262,-Mfl5hIEqbI37cgGVPlRrg,1,1,0,4,8,1,0
263,263,-MkHSuC0zIYT3mdHsXyx2w,0,0,0,0,1,0,0
264,264,-MuatiMmslPOvk9kOMyjkA,73,71,71,82,96,143,91
265,265,-N3qRemt9OsTwWcIeiJUmw,17,14,17,12,4,29,13
266,266,-NEtuSD9SMJL1p9H8wlLOg,0,3,2,0,2,0,2
267,267,-Nau05o3mhq_U4_VR21l7Q,0,2,15,7,15,1,0
268,268,-NbpQXcwYSshVbO7-M9m_w,6,12,9,8,13,10,4
269,269,-NfdQz7Pesvthek59uGl8Q,1,0,0,3,2,1,3
270,270,-Nol0FMWThU8s3QflnNEFw,1,10,2,6,2,7,0
271,271,-Nqb538lrK1ApesSa-PSLw,4,6,2,3,4,2,0
272,272,-NtaIhg7_yOl-d4o0VtMFw,4,3,3,2,2,0,0
273,273,-O3xJVGXePdnZST8O0sy6g,9,8,6,9,10,18,4
274,274,-OGWVp-o3A1l78jPuc06Lg,1,0,0,0,0,2,1
275,275,-OJYURpXsogHAmUAC9rbmQ,1,0,0,1,3,0,0
276,276,-OLb5soCJ6U6zs7Ad3yGhg,2,6,4,4,11,9,0
277,277,-OOVJcc1-qOUqI9131u0gw,27,22,16,29,29,57,44
278,278,-OXTyVDAOpsWU8eWCWC51A,0,1,2,1,1,1,0
279,279,-Ofk9ELkGJQasOApqJ9lCw,43,57,48,50,85,65,73
280,280,-OjKVujPWqfbQJRg_WcZTg,6,4,6,6,8,8,2
281,281,-Oj_rs84KRFOTtbeQXPB7Q,16,47,52,26,44,44,43
282,282,-OmQXmGomWfJNi449Uh99g,0,2,3,0,0,2,3
283,283,-OuTv9a9_MabQjyiZx2Stw,2,2,2,3,1,1,2
284,284,-Ouptmot-7ECpeyWNZufPA,7,4,5,4,6,5,9
285,285,-P2S8aVVIjP6InbSefRrFw,0,0,0,1,0,0,0
286,286,-P5dJdIFkT2cUmJZZFmahw,1,2,1,1,2,3,0
287,287,-P5v53i3MLDSrL8pMl4w6Q,0,0,0,1,0,2,3
288,288,-P76AJ-L73FvsgqO4RnG2A,25,36,39,47,38,53,65
289,289,-P8zE64sftc0tkg2hiQeqQ,2,2,4,5,1,8,2
290,290,-PABBD9nMgAYZHSShqGsjg,198,116,131,125,114,216,237
291,291,-PARO4rKPyOBgra18yANYQ,10,7,13,5,21,16,25
292,292,-PJgXks184iZSA9ueAHe_A,9,9,5,7,7,8,8
293,293,-PJgh1XoQBMnnSgg6MhmMA,0,1,5,4,13,7,7
294,294,-PT5G5CMXVEnfM8tNlAU3g,0,1,0,0,0,0,0
295,295,-PUPEpMsjBjk_rX5lFaWng,77,63,79,98,80,193,137
296,296,-PbCfkydmvuNcG9VG_ixkQ,43,36,27,35,43,61,43
297,297,-PldVl4KIAMHHG9NzPXs_A,1,1,2,1,17,6,0
298,298,-PxD6F3KL2BAUvzkSUDC7A,45,46,45,36,50,83,69
299,299,-Q4yXx53W2ac4e686uhFTQ,3,4,5,5,5,7,5
300,300,-Q8F0KbFIK3m3VeGXoCDEA,190,124,273,268,300,489,461
301,301,-Q9lMFH1GMUolUDUIqwZeQ,6,4,1,3,0,0,1
302,302,-QA_nOdfBoMD-AXeeew3dQ,3,0,2,3,8,7,6
303,303,-QHW6tu9iTmCcWDR4WDQWg,0,1,2,3,1,0,0
304,304,-QIQLK8RR6rl7v19cAQQHg,55,58,62,53,76,62,56
305,305,-QQ4GbPLHi_7jM0qj84ogA,2,1,3,1,0,3,5
306,306,-QSerLMzt7oH22HXd8uCYw,1,0,3,3,1,0,0
307,307,-QbASY4_Am_zda7TOoddkw,56,52,70,70,68,110,126
308,308,-QgX4QofONhh6XFZ4Zbnvw,49,9,42,46,85,109,111
309,309,-Qin00xq25JE5aV1ODKkFw,4,3,0,2,2,2,1
310,310,-QjVgVDzuwT708Dlr_hjBQ,1,1,1,6,0,6,9
311,311,-R0MilKeK1xcUlXpXfceYA,11,16,9,14,10,31,24
312,312,-RBS7znoOzfB8siQPc1_Nw,0,1,1,1,2,7,0
313,313,-RHW9_OT8GDI597oaD3HXw,7,4,6,3,7,6,8
314,314,-RIWE3MU3GCHM5KIW7PLww,13,23,18,10,26,29,30
315,315,-RN70NJDP02wVcrg5yPO8Q,24,26,50,73,36,98,84
316,316,-RYIKWBSTaJ21B2UMyzI-Q,120,103,147,167,150,276,229
317,317,-RmLe9SKAVPkeE41chS5iQ,21,8,24,17,27,47,51
318,318,-RmXB5nIycequPUB6kxdGg,0,0,0,0,0,0,1
319,319,-RnMaFFeP9nnK7QV6WJNGw,5,5,3,3,0,8,4
320,320,-RqyLPSFDQ2I6MWzcDqYCg,2,1,2,4,5,1,0
321,321,-RxkfrFaOLpE6Be3zGfsVg,22,29,25,30,38,4,2
322,322,-SG4FFB4DgZO_t_WImkvJQ,0,0,0,1,1,1,1
323,323,-SJBKfo4OpWhbEqvMpN_nA,0,0,2,0,4,3,1
324,324,-SJcjOv88ZHjIU44U4vWTQ,1,0,1,1,1,0,2
325,325,-Suap0Wo7-lcUXadXsgmOQ,3,4,5,3,3,13,6
326,326,-SvUaYyk0ubkscvEixipzw,0,0,0,1,0,0,0
327,327,-TVXOYL6kvKP1uW6ND9PIg,21,29,24,21,19,18,12
328,328,-TWZ4-AM76pUxPIt47mInw,3,0,1,2,3,4,1
329,329,-TciPU2kqQzinL9umDg2Nw,11,5,4,3,0,0,0
330,330,-TjM0o66XWuw46egUXuXFw,0,0,0,0,1,2,1
331,331,-TjaRpPRwbPcWTBN3fJENw,2,0,1,0,1,5,1
332,332,-TnZuTpcwANkrTSZlDeLEw,6,1,2,1,5,0,0
333,333,-TqP-akO6MvOelikCCF4Kw,0,0,1,0,0,0,0
334,334,-U8hTUEJHKROEaX5rGoqzA,0,0,2,1,1,4,1
335,335,-U9SRLyfsgDgXtyct8MZcA,33,49,41,39,138,41,13
336,336,-UECAx9uW9F_qLhQV7lZhQ,2,1,1,4,0,0,1
337,337,-UFf6RHGrzT5kLA33buMYg,2,0,2,0,3,4,1
338,338,-UGH67TORO4G5Osvc4kDUQ,1,2,1,1,3,3,2
339,339,-UM5wXw2scKFW6QHchBL4Q,23,17,14,19,26,35,45
340,340,-UXH_mn5SLip3MMiaGM69g,0,1,1,0,2,0,0
341,341,-UYf5Zj1NSZrYg1-eH0JOg,6,8,13,11,10,2,0
342,342,-Ucy8i4uc_OzN8y5fkGVaQ,89,56,71,68,79,178,151
343,343,-Ug2vL-ePWNf5dpiZGK5Yw,0,0,0,1,0,0,0
344,344,-Uhooy74Hfs1Cxxzdo5Hqg,1,1,0,1,1,0,0
