business_id,negative_review_count,neutral_review_count,positive_review_count
04sZ_Tn_iMSZOi98m_2-fg,42.0,2.0,34.0
04u-szAykldu-caSDHQaKA,46.0,5.0,8.0
05BpxQYVbywxliQ9yA0CKw,170.0,13.0,38.0
05SEa-U2s2EBjfCEuI290Q,4.0,0.0,2.0
05_7B831_L5ZZeefA-31oQ,3.0,0.0,0.0
05_XQDjulv-TCbqYRIkp3Q,9.0,0.0,1.0
06PiQOUehVOYtDcZRWrA5A,10.0,0.0,4.0
06lCNuSrCnaU6eq0EV4PYg,151.0,19.0,83.0
079CV1EE5WLdQqVEVYFeHQ,88.0,10.0,67.0
07HZ70wpawSANXKK4CkqpQ,7.0,1.0,3.0
07WvOLZIitvfvnD6dR50Iw,12.0,1.0,6.0
07ZateHZK5iqMxNs3g3r6Q,11.0,2.0,7.0
07cX3Rkj85kDQ1drMMczaw,34.0,0.0,10.0
07wrZtaTar8BjJVZlFdYDQ,2.0,0.0,1.0
0859wfd1BQHG46Zpwhc0ZQ,107.0,12.0,148.0
08AqwKb4NlV43qCYLuiVIQ,3.0,0.0,0.0
08N3bQ7Wtx7j5pdnzOG8dA,100.0,13.0,58.0
08_PxnpSJO4Rxt05EYaAxg,28.0,4.0,18.0
09LYxY5D4GcKc0Tvs4K_gw,35.0,7.0,37.0
09psTuUYhUMA2ZRzQlm30Q,94.0,7.0,33.0
0AUdqRDyqxOB8TZ8HFettg,9.0,0.0,0.0
0B_aEPeZjrXs6T7vS3arrA,31.0,2.0,15.0
0BaMoKDVNv-MP84BQ9EK9A,9.0,0.0,0.0
0BbRoMwVTZgYV1oqgtsHOw,65.0,2.0,18.0
0BlfvOIiqur_kp3ba3dpFw,2.0,0.0,1.0
0Buxoc0cRqjpvkezo3bqog,284.0,17.0,166.0
0C1ME-oi2GtsHr8xsV9fsA,132.0,19.0,129.0
0CAzhX1w9qGD8iz4F8XZjQ,118.0,9.0,26.0
0CElIQnJdQYF2bmsAiWczg,149.0,21.0,161.0
0CZ4opKkec9yAS8qmXoWdA,65.0,3.0,11.0
0DCRyiF8BoyXZOoStIdtAw,10.0,2.0,7.0
0Dqt6Ad-7VjWq8pxE0TRMw,10.0,0.0,5.0
0Ekvh_EVMIKhKKEOLNodNA,3.0,1.0,0.0
0Exi1eTmdeHFTgYjLX7AtQ,14.0,0.0,9.0
0F9M9mz50sdRq7ynRl3eVw,3.0,0.0,0.0
0FBnMCA0-V-FJkAbwU1wqg,9.0,0.0,4.0
0FOON_PNvG0ZxIZh6Jcv2A,10.0,1.0,4.0
0FUtlsQrJI7LhqDPxLumEw,1117.0,127.0,853.0
0FtjGjAJGuUVp-gohD3jlw,18.0,0.0,2.0
0GbfFf9nIvdZwffmHOZ_TA,9.0,0.0,4.0
0H9bomdciJmcqfojkxLnsA,119.0,8.0,55.0
0HRNeFrQt31b-lD9kVdHog,23.0,3.0,13.0
0HSY1jGtyFuETZwaJN6rQQ,56.0,5.0,19.0
0HgLKI1T9WT3hJXskDtUrQ,108.0,13.0,87.0
0HwrX6P6lh92F0f-A_QzjA,18.0,2.0,6.0
0I0hxOcOLjKGIBUTG-G-dQ,39.0,3.0,9.0
0J-QM0fIxBNNiSK_n19y9g,36.0,3.0,15.0
0KpoeCt1E-SQsUBwtjLAEw,19.0,0.0,5.0
0LKcSabd5Gd5oz-qrHTzZg,4.0,0.0,1.0
0LhYg3iOF9IU2Ut8IL84TQ,159.0,17.0,99.0
0LmDg_Y6Ht3zFqtvmLhp6g,183.0,20.0,132.0
0MVUQtakauK3qKqfIcQWiQ,31.0,1.0,11.0
0Mp_0j2dfMXE6l-3Raqorg,9.0,0.0,0.0
0N2y8rNxbet6p4UIBWTOrw,96.0,12.0,136.0
0NHEjJyesmHHNZx9qciU7A,11.0,1.0,13.0
0NgePUfXd2TG0kWgsQRq0A,110.0,21.0,70.0
0NhylBPrcpXUXZmqZL4T7w,41.0,5.0,22.0
0NxNTtgpfjBIOdLW5IJhCQ,65.0,16.0,48.0
0Oskle2GkyYMseuJ3TDwRA,36.0,2.0,16.0
0OvM4_xU5cJYCo0bsbVEQw,26.0,0.0,7.0
0OxEVzBKDmTP7GdSmhi3ow,20.0,1.0,9.0
0P46EQN6wGc52nONZX0kgQ,85.0,7.0,74.0
0PFaDqDinxlLhGk4D522AA,11.0,0.0,6.0
0PFf3RKtDQyHnrdcPo8zMQ,154.0,24.0,107.0
0PMKMyfX1j7Nc4esk1RaMg,181.0,15.0,103.0
0PO-AN12WzQKh2qnxYNbeg,40.0,3.0,14.0
0QBFtNNj9RIggZGeivcbEg,104.0,8.0,84.0
0QiXMQroT9V6ByBLehufgw,12.0,0.0,5.0
0Rjgq0tHv3enQW8lNbrrVg,12.0,1.0,6.0
0Rni7ocMC_Lg2UH0lDeKMQ,66.0,7.0,27.0
0RnvFHNKKFzww4eoYk5DoA,29.0,2.0,5.0
0Ryxx6uSpt4TOKYVGBekLQ,105.0,6.0,36.0
0S3x-ERLaR-ce1sJtS_OUA,9.0,0.0,2.0
0SdBUBJ7uBGj9bEJQgeXBA,8.0,0.0,2.0
0SkcMNYPdZin1lu0TJeqgQ,3.0,0.0,0.0
0TBTV3q6QXCn9vNhy3Xi2w,253.0,34.0,195.0
0TgBr7wAMQOij6_JP9q3ag,52.0,2.0,33.0
0U0odWV4aGw2k-bIUKhO2w,12.0,0.0,6.0
0URIvKxCNT-AVgtdYFAX8w,115.0,17.0,42.0
0UoBZwA60O9RKYwhu15ITQ,11.0,1.0,2.0
0V18KwdtfsdrIu9xyO4GLg,73.0,7.0,97.0
0VGD6b_oSS_k9n4jVIudaA,9.0,0.0,0.0
0VOh4VIq13oFburRU9gddw,73.0,7.0,45.0
0WAL6O1YvcJbeDRYeRm34w,123.0,11.0,42.0
0WHXFRerY6I05u1VBU71cw,2.0,1.0,1.0
0W_6DPifCQwGU5N_LaiE9g,2.0,2.0,3.0
0W_pPAiTXgazY2mtX6o0_w,511.0,51.0,202.0
0X4D58d_nShvVeN5FeYiHA,1.0,1.0,1.0
0XMOCF8omuTYfhkNRz1xMw,3.0,0.0,1.0
0YWsZ1Ie9e04DFfzFij7yQ,2.0,0.0,1.0
0ZL9snCMfzb9icU3LS_kKw,55.0,4.0,13.0
0ZLUXUoz3IxQoFCT5k8XUQ,5.0,0.0,7.0
0Zb-kM0JZ08WCBiCEHixSw,106.0,2.0,23.0
0Zu6KcjFJjBpCOjiOa2HvQ,10.0,0.0,2.0
0_Yc6blfiI9A6Q8bKjYLSQ,11.0,0.0,3.0
0a1aewKFcvPsCQtIrluCmQ,15.0,3.0,13.0
0a2fKfP6_PIx0djDrcln6w,4.0,0.0,2.0
0a5jrIXBKH5aRtQzh728qg,21.0,3.0,9.0
0aSvr56wz4gRAA5TtV7_Tw,78.0,4.0,12.0
0bF6jv97Z6VbruRpepUOcw,127.0,17.0,121.0
0cFCPxFRWReXer2D_mCp1A,4.0,0.0,2.0
0ccI-aZfoqD4PteESpfShg,2.0,0.0,1.0
0cf-w9PK5gLkBkitL3bdqw,132.0,15.0,132.0
0d6kx6Jlocw77y1J9nbqMA,141.0,10.0,52.0
0dEUND3rVLjp50rczLIaeA,10.0,0.0,3.0
0dbEthYMUMCk9WzVGGZ9zg,12.0,2.0,3.0
0e04p30NZeOi1dBKwpXc-Q,4.0,0.0,1.0
0eaBaaDa-2EZO5V8Wys6OA,20.0,0.0,8.0
0ebavvJVXAzKKQ8C9cOt6g,117.0,6.0,31.0
0fV8EXAdtjYRzffr70J9_Q,1.0,0.0,2.0
0fW77t7I2673JY27JWC-yw,68.0,3.0,23.0
0fyxLMASE5bfYAgW6MYM_g,147.0,7.0,37.0
0gXYLVPNWz0WT8wXQVpS0g,499.0,47.0,292.0
0go_co5nVtlbu4HgUyUIOQ,133.0,15.0,97.0
0h5yI6np7weAVH0jsjHqPw,68.0,12.0,34.0
0hQIVAQNkvAKIK9MQTNAHA,6.0,0.0,3.0
0hp3WtPSxvmJVk3BNTfhHQ,13.0,2.0,2.0
0i3oD3DqaxaHS22NbmGeCw,3.0,0.0,0.0
0iVmcOx02Gxuo4kfcTK-2w,24.0,0.0,10.0
0ihQJhd_-nUP1p01NBDjLQ,54.0,9.0,51.0
0jAexNHRHhkQv4zNYqenBA,272.0,19.0,107.0
0jDvRJS-z9zdMgOUXgr6rA,20.0,2.0,9.0
0jaD7X39dXE8DxJYIaxSDg,24.0,3.0,18.0
0jv1aUWkZfoJumErj3JCFQ,51.0,4.0,23.0
0k5W44XU4uSEsPA163LKjQ,24.0,2.0,2.0
0kD9yJIB2cmvOh8-WbcO_w,41.0,5.0,21.0
0kag5JGemji05P3oxx4lpg,98.0,11.0,51.0
0kgib8EeCvEerG1R4T1okg,17.0,2.0,14.0
0kyhbUW6NkpYjJzFBZ64vQ,60.0,4.0,31.0
0lLuBGsRyx2YrNoDIiJO8A,16.0,1.0,2.0
0mYE1kF9GqjBlCIIPqD6sw,4.0,0.0,0.0
0n2us6pzfJ4UK9qy1NWYOg,26.0,0.0,18.0
0nki-StQkYNVHi5EQl-Ayw,25.0,2.0,9.0
0nyM_mub7LxN6Dx7tYpMaA,225.0,10.0,129.0
0oOTrzxhO3FxHqmeZuC3mw,19.0,2.0,12.0
0oSWfLMJZnl2HhOc2lQb2g,44.0,6.0,18.0
0oZJ19F7KebXTu8auQvZrA,16.0,0.0,3.0
0o_JtYrz5FRVMcAEVmf42w,56.0,5.0,32.0
0oaeKi-s-tg830_F8nnRwQ,6.0,0.0,0.0
0obhg2Jv22z6Mkvl3zGaiQ,82.0,12.0,100.0
0owO8bvP8RgiAgimOLxXhw,26.0,3.0,13.0
0oyuTuYwr6-nbz7F7CuuTQ,54.0,5.0,52.0
0pMsVlUu_MbFqmvbA8F79Q,248.0,33.0,123.0
0pazeZax1Nt9cn0U_8aSUQ,105.0,10.0,58.0
0pm-hpu8Rkfa16tLjWb-GQ,30.0,5.0,14.0
0qOI8lOZvvhrbtxqjaBQMg,86.0,7.0,46.0
0qVdS4t-hOxN_qcOpofUOw,16.0,1.0,9.0
0rNtenZamAH-1q-2qO9xLg,46.0,7.0,17.0
0rjU_WK5HxoH1fIuEpTpcg,204.0,10.0,135.0
0s0Xthk1JWrBUu74M81Xyg,71.0,6.0,37.0
0sE5o_dunOdUMvXVsaJSsA,34.0,2.0,19.0
0soxZSoTlqH1zqWGf3BsJQ,14.0,0.0,5.0
0tAJwKKzYBVDCrgiQiQS9Q,12.0,1.0,10.0
0tjGVR1OxQSd_MQY9rOIOw,18.0,0.0,2.0
0uBsXOFXBIscojMipiumeA,94.0,12.0,29.0
0uhgtpLf__CnZB1ggPVzSQ,4.0,0.0,0.0
0vJmCY2P5rc37jSMz7Nz3Q,6.0,0.0,4.0
0vQQAB33tBx0Wl5bxNzvwA,2.0,1.0,2.0
0vYwOmTitx-Qas-jjW3nYg,3.0,1.0,1.0
0vdw9E5zzYDNsW_smjBmHA,65.0,10.0,71.0
0wBS7MjIO14xfqbsNq8tLg,1.0,0.0,3.0
0wKOp9CBQbiByRn8Qp7NIg,33.0,1.0,5.0
0xR-5RQ7FWDL09XsnUZI6g,5.0,1.0,2.0
0xfVubbU3z8O2NcuEYSQNg,218.0,18.0,117.0
0xso8uriixDURNmHy3x42A,59.0,6.0,33.0
0xyqLvtr0Zbr4G-gML-QmQ,195.0,15.0,119.0
0yHY4FHCTOIshPiPc9EYBQ,27.0,1.0,16.0
0yUeVtDItnweZjs6cxP18Q,15.0,1.0,5.0
0zTLMQOZhiCp9GFtegiFsw,125.0,16.0,93.0
0zr7FB0nnZXJmwb94yTbJQ,9.0,0.0,1.0
1-EjdZhVZFuNG6ReBS0rvQ,237.0,24.0,118.0
1-L3RfFTq4tA0kl73K1l0g,46.0,4.0,32.0
105f7-pVm48HQDB2BGk11g,41.0,9.0,31.0
10ELp0f3kgGfXPQNQq77ew,38.0,3.0,26.0
10Ft6GZPvoZyRWi1bVo3Rw,5.0,0.0,4.0
10GxV6JOKPoR1w5KC2iZjA,94.0,8.0,126.0
11bhfBbcFypczdz3N_w6iw,70.0,6.0,29.0
125MmR3F3zOd6DAHkIjlog,3.0,1.0,0.0
12SAt4bH2YlyihIzzP5cBA,44.0,8.0,70.0
13KW8P5n1jAxxHB7Bl_obg,246.0,10.0,166.0
14O6gNqpd3bcnIAHPFT58g,43.0,4.0,39.0
14gcM85Uwf7_alLqDcOGOA,6.0,0.0,1.0
15-7ccie0lFEbdsnwFXNZw,33.0,0.0,3.0
15YuEFO59yXd7BTO5NZgYw,185.0,21.0,131.0
15mZTt8yz8iH11fZ943FxA,9.0,1.0,3.0
15yP8OOhUcESzYbLcm6s3g,48.0,6.0,36.0
16Md-YQqxnSVKgrnL_yx5g,30.0,2.0,7.0
16d3BlncEyCTzb0GxXrBXQ,257.0,35.0,325.0
16fgi4_LNRlPGcpL1ObNww,46.0,2.0,12.0
16rLCEnPWG1jYAgY7NorTQ,34.0,0.0,8.0
16xoDNtEWbth_s--xqZxrQ,20.0,2.0,13.0
17K0u4eyrm5rZBo5FybQtA,51.0,2.0,27.0
17WMhO7Ygx-T9agjoD6Znw,2.0,0.0,1.0
18Kq9h53nYbmXAIoMtj6HA,46.0,1.0,19.0
18NP-qL3VIJEBJGpns7aTw,72.0,7.0,29.0
19LQmaLOi22V5RrI3eB5lA,17.0,4.0,25.0
19RFEJnuHCo03LsHzKiJcg,6.0,2.0,4.0
19f_Hyq38r6ycACRw-JG6w,23.0,6.0,13.0
19rzu0wtv24oe7ffxVmh_A,11.0,0.0,11.0
1AYcrBPjJdwcYUivLj8lDg,5.0,1.0,2.0
1Ai-ashfNW5nWgOqDars3g,17.0,0.0,2.0
1An9A7RVoiAvaJxvueaEsA,54.0,3.0,9.0
1AxEmgv8Dsr3iU9Aa40jPw,45.0,3.0,31.0
1BCTS8QRO-g1FH_TaP2tBA,15.0,0.0,3.0
1BOxJB1iPx32lYPS0wBS5g,21.0,0.0,9.0
1BvWaR-5EcODm59zRmNKkQ,28.0,4.0,19.0
1BzP4ECa0WRDbeVTn321vA,18.0,2.0,4.0
1C2SZ3IljVQj1tJim1wCVg,3.0,1.0,4.0
1C7mPT-9mFihyZq8-qLxgw,48.0,3.0,11.0
1CL8v1mIwpGh-FW0U6BH8Q,17.0,0.0,2.0
1CSMpBHr3mYd9XEOldM2yw,9.0,0.0,0.0
1CYCCdlSn_L17N8nu9LEuw,7.0,0.0,0.0
1CqDdPrrb0xvQpgu7fhI5w,164.0,13.0,65.0
1D-7VH5nJdgjdjK5RAO28Q,4.0,0.0,5.0
1DdkhCSmKDgFmilXS9SZEA,24.0,3.0,16.0
1Dfx3zM-rW4n-31KeC8sJg,12.0,1.0,6.0
1DswS8btQKkWFyTUZlcgCQ,7.0,1.0,6.0
1E1Qp9HWSZmqruir3sTeKw,75.0,12.0,75.0
1F4T9e6bRFwL11wnNxW4Ng,37.0,0.0,0.0
1F6imE4hNPEEcsb9VHRUoA,115.0,13.0,55.0
1G7beFPMgIAs4SbBOP3qGA,4.0,0.0,0.0
1GG8G4aWXKSV4oQr2E8f3w,1.0,0.0,2.0
1GWJWh9WGytmkXKdkXx6Hw,10.0,0.0,1.0
1GXTRFzsANkhkRIivqMtuQ,69.0,5.0,49.0
1GoI8TV5ngDEqoTmDK6Iow,130.0,10.0,70.0
1HnYxHZw2icWQ7-T4AmQ0Q,96.0,20.0,61.0
1I555FApTVfQA9QR9GyIMg,12.0,1.0,8.0
1IbrFRdTTdPUG0Ne1pEXJA,13.0,1.0,10.0
1JF9TbJ2d5hH8xsQvvklHg,125.0,9.0,122.0
1JmSxEQZQn1AitoNHxvHBQ,24.0,4.0,7.0
1JpfQCgLnmz6VU00O1XIPw,90.0,17.0,88.0
1LG6qcTXLCCaZmIEHwSDeg,4.0,1.0,9.0
1LM9PRDlmBpIgBKdAAWIZA,26.0,4.0,7.0
1LdvubOnn7Uf_xDpc5JcMA,3.0,0.0,0.0
1M0Mo_ctYMTH0CTKgv4RpQ,35.0,2.0,7.0
1M7E6fh47lwQ1roc8kVv9g,102.0,8.0,44.0
1MGhb6z2XSTsyLvQgylXiA,38.0,2.0,16.0
1MpaVGIL6S58X5Pvz3jWvA,69.0,5.0,56.0
1NbNo3v8XO9Sze_nqG2fyg,5.0,0.0,0.0
1Nq7GxjvEDgAJxBeOjR_9Q,94.0,7.0,15.0
1O0JT3O8TCULYhu-AIziwg,182.0,14.0,75.0
1O4E4Ott6nnwcpRo-m5Utw,7.0,0.0,2.0
1OnZRj4yIo4szhapTFwj5w,4.0,0.0,9.0
1OxSzNUssdRohY5dC-kWVg,12.0,1.0,15.0
1PFj0yJ0EzwQXIOsIT2y3w,217.0,19.0,138.0
1PNbwRBfXYzWrnV3fbys0A,10.0,1.0,9.0
1PaQzgrhq-jy-7MMGeLuGw,59.0,2.0,0.0
1PnhX9SNMX71LPFD7-IqXg,46.0,1.0,13.0
1PpxBdNp8LeyeFXd2emfaA,2.0,0.0,1.0
1Q812VI7asWrVxtq3BxJiw,28.0,0.0,11.0
1QJFpZxLbHbXSKohWp9uIA,264.0,27.0,163.0
1Q_VjzXaq8Ad4rvSVOWpcg,29.0,2.0,20.0
1Qs8-7DUkIYrQVjBzFqdnA,37.0,1.0,40.0
1SL4o9YkOxfJMXIx2jic7w,33.0,2.0,18.0
1SlvPOQ39vZa9vyeOTiAUA,5.0,0.0,0.0
1TLJ5dSPAa-ZFnPXPjp7LA,18.0,1.0,2.0
1U9lgJoEhxaCMP0PsuSJgA,56.0,3.0,29.0
1VDP92FU2p8AqJw9vU11sw,165.0,10.0,112.0
1VKjDpPJdVoiRc8I9f7U9g,71.0,3.0,39.0
1ViZu60qPK0KcPJuJb6b1A,29.0,3.0,34.0
1WBkAuQg81kokZIPMpn9Zg,177.0,16.0,83.0
1YBpnyR_VlJNjrUzNVXYDQ,11.0,2.0,1.0
1YJ66wFUqtRxRKnCn19uqQ,9.0,1.0,2.0
1YQaI6yyWa8jSzP0jJX0tw,107.0,11.0,42.0
1YdO6O1iEqhHTM-N0K5pHA,3.0,0.0,1.0
1Yk-GnszDT9g1E1jnD1sIw,27.0,1.0,18.0
1Z4_zSITNVQ_Bt027R0S1g,92.0,3.0,41.0
1ZgqJjtb91E9tOKhKrzsuw,94.0,13.0,80.0
1_5fQbRHciJUinP27yWBww,12.0,0.0,3.0
1_WfF9pNoNeWe233CeqE1Q,67.0,5.0,38.0
1_XieTGcu829D7eN_cHiow,47.0,3.0,26.0
1_rKcIWq0baxOju3wJzprA,20.0,1.0,8.0
1_v_fooGLY3FQkO5tH3m-A,65.0,4.0,12.0
1_vpfu3RxcnX5z54vmnOMg,6.0,0.0,0.0
1a9YViZDThy3VqBnGOatmQ,372.0,23.0,221.0
1aAWv9j_G6oKwHSFYbereA,5.0,1.0,7.0
1b8d2CqGcfF3Hz0vixQSUQ,5.0,0.0,5.0
1buqH6E5R2jPOrTQDF6sFQ,3.0,1.0,1.0
1bxJcRAF-2wDY-QbiTCqPQ,11.0,0.0,3.0
1cl8ti5S8cJLHGetUe_s6w,7.0,0.0,1.0
1cwYKUoOGbgnq-wRfO2PIQ,17.0,0.0,3.0
1d6c6Q2j2jwVzBfX_dLHlg,557.0,46.0,227.0
1dQqNZOjsXRx-UgJD0dpRg,27.0,3.0,28.0
1dV3qNEv8nNUAX1k3qdE2w,10.0,2.0,1.0
1dX0u7zsjizDvatHEutHdQ,80.0,8.0,48.0
1ePxLE7eU4kRoags_ytAAg,48.0,4.0,11.0
1f7AEcZfKF7F4hvehrUqaw,70.0,8.0,31.0
1f_-jV4oJsiNSgpy8SaF8g,9.0,0.0,2.0
1fhYyEILdhKz_WVfjnijVw,20.0,1.0,6.0
1gAEWHyEV4vWL7caADc8Gg,45.0,4.0,15.0
1gRWCpwBh1pL5ByiAo8T1A,61.0,7.0,14.0
1hkksm102yQY1DyfTPSzmA,202.0,14.0,62.0
1hrX1vHaUgllWH6i876oAw,2.0,0.0,5.0
1iDBWrwjfk4w_ThhL_qTYQ,25.0,2.0,6.0
1ibcr-sgeUXJNAE51Czjpw,10.0,0.0,2.0
1jasd5ZhHsS8CLGv34YEow,2.0,2.0,4.0
1k53JbU9dNU0NvyBYKLhNw,4.0,0.0,1.0
1kDS1homhHy0gr5N95oGzw,21.0,2.0,4.0
1ku0t5u7dCAE0g-pZDQdAw,69.0,14.0,29.0
1kytABjYhj3naF4vLQEbYQ,94.0,9.0,58.0
1lAV0CZdveG9tYlZZfWjCA,33.0,3.0,5.0
1mkDrJRu3VABKy95gxD-Hg,5.0,1.0,2.0
1muT5zEqoC4qp9ms08qJtQ,243.0,16.0,80.0
1n3hAKaOajANcMQZOt1IOg,95.0,3.0,49.0
1nhPU1FP-yrI_9UufQQcQg,22.0,3.0,9.0
1o03kXj4zA-_SvN1HfqNyg,58.0,7.0,53.0
1o2G_tqc-awFltCORrMWBg,10.0,1.0,10.0
1ofuWPYnHDp01c11BQog9w,14.0,0.0,0.0
1p76_EWPbPcTprNrEVw3-g,57.0,2.0,5.0
1phJezq7O9-rQRd9HJCqFg,70.0,5.0,38.0
1pm04v3jhOCDJjSMWiZSTQ,42.0,6.0,66.0
1pytOeO_PhT4EVpk2MXQBA,25.0,2.0,7.0
1qd-bk_dx_ZbmoQSbNUuVA,1.0,0.0,5.0
1qkKfqhO8z2XMzLLDFE96Q,141.0,16.0,268.0
1qwkbN3wu3AGDxMTXVz2gA,567.0,43.0,332.0
1r9lpt5r9l4uJxLLyt6QBw,36.0,2.0,3.0
1r9xmPVZqsiTNQr_FAcs8w,64.0,9.0,46.0
1rbb8ntTOpSolQv60CGcsQ,51.0,4.0,21.0
1rebduwtmrHQhl32djRS7A,102.0,14.0,68.0
1rr5GmTTcnAPl6uKLVLWQA,4.0,0.0,3.0
1s28O8UuTAmJb5IDz3MY3w,8.0,0.0,5.0
1s8Zu9irOTZtW88ca9P41Q,5.0,0.0,17.0
1sdwgcMd1BNlzw-wz3TXKQ,133.0,10.0,66.0
1sv3rfOPMlTzqd8J0Ay4MA,46.0,5.0,12.0
1tFY0vj7pT-r2wVBBBrOOA,24.0,1.0,1.0
1tq2OxLMv-yxhdKLa2f8QQ,16.0,6.0,16.0
1u2cWnmgxeXjPJWuVi7jjQ,2.0,1.0,1.0
1wBKFqiR3vN4-6lmwBGXAQ,5.0,1.0,0.0
1wU_10DtV6aJbGT26kATuw,29.0,0.0,1.0
1x8_aJQ-iqvymhRK3SNbLg,90.0,4.0,26.0
1yDg3q9jjHpwI1co3pw6QA,22.0,3.0,5.0
1ytwQT_hlhoxvgDzts4Osg,4.0,0.0,1.0
1z2LH6CeT13o1GD_VkK01g,20.0,6.0,6.0
1zH3_Agw8CTgSmKgg4JNmg,58.0,1.0,15.0
1zJdyb0mqvNhE-3xaaHwIA,18.0,0.0,6.0
1zYltl3s23LN7lxdqM5qmg,53.0,3.0,5.0
1zgcF2M_rXYdK03BTewM4g,12.0,1.0,1.0
1zsM7weLS8fNHomDAqCh4Q,174.0,10.0,95.0
2-KaQd8Ozw3A5QgW8hKWDg,5.0,0.0,2.0
2-_HV0XUYK64OylB5J4i6A,49.0,0.0,41.0
21aN-c-5CjugDRiSdjrH3g,23.0,1.0,7.0
21fK0m8sQFbRQv3RlskE2w,90.0,8.0,16.0
21lt9KBnxcKtQagmImBOpg,7.0,0.0,7.0
221yaXPE1zmJqDvBVM__tw,22.0,0.0,4.0
